뉴스  url,제목,내용,날짜
http://news.kbs.co.kr/news/view.do?ncd=7910732,[총선] ‘친명’ 정봉주 서울 강북을 경선 승리…박용진 낙천,비명(비이재명)계로 분류되는 박용진 더불어민주당 의원이 서울 강북을 경선에서 오늘(11일)...,2024.03.11 (20:18)
http://news.kbs.co.kr/news/view.do?ncd=7910722,부산 사하구서 승용차 추돌사고로 1명 숨져,"오늘(11일) 오후 3시 20분쯤, 부산 사하구 당리동의 한 도로에서 승용차가 진로를 변경...",2024.03.11 (20:11)
http://news.kbs.co.kr/news/view.do?ncd=7910719,"“중국 당국, 대형은행들에 부동산업체 ‘완커’ 금융지원 요청”",중국 당국이 정부가 일부 지분을 소유한 대형 부동산 개발업체 ‘완커’의 자금난 해소를 위한...,2024.03.11 (20:08)
http://news.kbs.co.kr/news/view.do?ncd=7910708,"[총선] 조국, 비례대표 출마 선언…“후보 선정 관여 안하기로”",조국혁신당의 조국 대표가 4월 총선에 비례대표 후보로 출마하기로 했습니다. 조 대표는 오늘...,2024.03.11 (19:56)
http://news.kbs.co.kr/news/view.do?ncd=7910707,"윤 대통령, 미 아칸소 주지사 접견…“한국과 각별한 인연, 협력 강화”",대통령실은 윤석열 대통령이 오늘(11일) 용산 대통령실에서 방한 중인 사라 샌더스 미국 아...,2024.03.11 (19:56)
http://news.kbs.co.kr/news/view.do?ncd=7910698,"[여의도 중계 LIVE 3회] D-30, ‘트루블루’ 조국혁신당 급부상 혼돈의 총선판, 영향은?", 한달 앞으로 다가온 2024 총선!KBS는 총 6회에 걸쳐 '여의도 중계 Live'를 통...,2024.03.11 (19:50)
http://news.kbs.co.kr/news/view.do?ncd=7910696,[속보] 서울대 의대 교수들 “정부 해결 방안 없으면 교수 전원 18일 사직”,서울대학교 의과대학 교수들이 의료 공백 사태와 관련해 정부의 진정성 있고 합리적인 방안 제...,2024.03.11 (19:49)
http://news.kbs.co.kr/news/view.do?ncd=7910694,“30초 만에 금은방 털어”…2인조 절도범 구속,인천의 한 금은방 유리문을 둔기로 부수고 금품을 훔쳐 달아난 일당 두 명이 구속됐습니다. ...,2024.03.11 (19:48)
http://news.kbs.co.kr/news/view.do?ncd=7910693,[뉴스레터K] 신동욱 “민심은 정쟁보다 민생…국민 삶 나아지는 정치하겠다”,■ 인터뷰 자료의 저작권은 KBS라디오에 있습니다. 전문 게재나 인터뷰 인용 보도 시 KB...,2024.03.11 (19:47)
http://news.kbs.co.kr/news/view.do?ncd=7910689,[뉴스레터K] 류삼영 “민심은 ‘정권 심판’…모든 것 걸고 저항하겠다”,■ 인터뷰 자료의 저작권은 KBS라디오에 있습니다. 전문 게재나 인터뷰 인용 보도 시 KB...,2024.03.11 (19:46)
http://news.kbs.co.kr/news/view.do?ncd=7910677,뉴스7(경인),,2024.03.11 (19:40)
http://news.kbs.co.kr/news/view.do?ncd=7910666,‘오펜하이머’ 아카데미 작품상 등 7관왕,천재과학자 로버트 오펜하이머를 다룬 크리스토퍼 놀런 감독의 영화 '오펜하이머'가 올해 미국...,2024.03.11 (19:35)
