뉴스  url,제목,내용,날짜
http://news.kbs.co.kr/news/view.do?ncd=7910595,하수구 악취 10년 피해…법원 “구청이 1억 3천만 원 배상”,10년 동안 건물 근처에서 나는 악취에 시달린 주민에게 해당 구청이 1억 3천만 원을 배상...,2024.03.11 (19:10)
http://news.kbs.co.kr/news/view.do?ncd=7910594,"선관위 “재외선거관, 단순 비용이나 효율성 문제로 판단할 수 없어”",중앙선거관리위원회는 재외선거관이 파견된 일부 해외 도시의 재외선거 등록률이 낮다는 KBS ...,2024.03.11 (19:10)
http://news.kbs.co.kr/news/view.do?ncd=7910587,‘논란의 수능 23번’…“평가원 사전 검증 못하고 사후 이의 제기는 뭉개”, [앵커] 현직 고등학교 교사들이 입시업체로부터  뒷돈을 받고  모의고사 문제를 제공하는 ...,2024.03.11 (19:07)
http://news.kbs.co.kr/news/view.do?ncd=7910584,고 손명순 여사 오늘 발인…현충원 YS 묘역에 합장, [앵커] 김영삼 전 대통령 부인인 고 손명순 여사의 영결식이 오늘 엄수됐습니다. 평생을 ...,2024.03.11 (19:06)
http://news.kbs.co.kr/news/view.do?ncd=7910580,19번째 민생토론회…“첨단 데이터 클러스터 조성”," [앵커] 윤석열 대통령이  강원도의 주력 산업을  디지털, 바이오 기반  첨단 산업으로 ...",2024.03.11 (19:04)
http://news.kbs.co.kr/news/view.do?ncd=7910575,[총선] 야 “외교·법무 장관 고발·탄핵”…충남서 표심 몰이," [앵커] 더불어민주당은 이종섭 호주 대사 내정자가 출국한 것을 두고 ""국가 권력을 이용한...",2024.03.11 (19:02)
http://news.kbs.co.kr/news/view.do?ncd=7910572,[총선] 여 “‘이재명 셀프공천’이 패륜공천…위성정당으로 ‘종북횡재’”, [앵커] 국민의힘은  이재명 대표가 스스로를 공천한 것이야말로 패륜공천이라며 민주당 공세...,2024.03.11 (19:00)
http://news.kbs.co.kr/news/view.do?ncd=7910565,[뉴스7 헤드라인],총선 D-30…“패륜 공천” vs “범인 은닉”국민의힘은 이재명 대표가 스스로를 공천한 것...,2024.03.11 (18:59)
http://news.kbs.co.kr/news/view.do?ncd=7910563,정전에 시위장 된 테슬라 독일공장…확장계획 찬반집회 열려,"테슬라 독일공장이 정전으로 일주일째 가동이 중단된 가운데, 확장 계획을 두고 환경운동가와 ...",2024.03.11 (18:56)
http://news.kbs.co.kr/news/view.do?ncd=7910562,[총선] 충남 찾은 이재명 “지역 중심 불균형 발전 전략 추진할 것”,더불어민주당 이재명 대표는 오늘(11일) 충남을 찾아 “충남이 국토균형발전의 전진 기지 역...,2024.03.11 (18:56)
